time,volume,open,high,low,close
2023-05-16T07:45:00.000000000Z,1349,1.08846,1.08946,1.08842,1.08886
2023-05-16T08:00:00.000000000Z,1238,1.08887,1.08945,1.08877,1.08942
2023-05-16T08:15:00.000000000Z,1035,1.08942,1.08965,1.08920,1.08956
2023-05-16T08:30:00.000000000Z,1189,1.08959,1.08978,1.08924,1.08968
2023-05-16T08:45:00.000000000Z,975,1.08969,1.08969,1.08896,1.08914
2023-05-16T09:00:00.000000000Z,1208,1.08912,1.09048,1.08892,1.08991
2023-05-16T09:15:00.000000000Z,1135,1.08992,1.09004,1.08929,1.08986
2023-05-16T09:30:00.000000000Z,960,1.08987,1.09006,1.08942,1.08964
2023-05-16T09:45:00.000000000Z,718,1.08968,1.08997,1.08937,1.08938
2023-05-16T10:00:00.000000000Z,802,1.08937,1.08940,1.08902,1.08932
2023-05-16T10:15:00.000000000Z,541,1.08932,1.08958,1.08917,1.08934
2023-05-16T10:30:00.000000000Z,548,1.08934,1.08972,1.08924,1.08932
2023-05-16T10:45:00.000000000Z,751,1.08930,1.08972,1.08918,1.08952
2023-05-16T11:00:00.000000000Z,815,1.08952,1.08962,1.08922,1.08957
2023-05-16T11:15:00.000000000Z,884,1.08958,1.08974,1.08926,1.08962
2023-05-16T11:30:00.000000000Z,789,1.08962,1.08964,1.08890,1.08899
2023-05-16T11:45:00.000000000Z,949,1.08898,1.08898,1.08852,1.08870
2023-05-16T12:00:00.000000000Z,1161,1.08870,1.08874,1.08802,1.08812
2023-05-16T12:15:00.000000000Z,1023,1.08813,1.08846,1.08780,1.08806
2023-05-16T12:30:00.000000000Z,3210,1.08836,1.08900,1.08682,1.08848
2023-05-16T12:45:00.000000000Z,2078,1.08850,1.08862,1.08748,1.08817
2023-05-16T13:00:00.000000000Z,1786,1.08816,1.08892,1.08810,1.08846
2023-05-16T13:15:00.000000000Z,1909,1.08846,1.08850,1.08744,1.08754
2023-05-16T13:30:00.000000000Z,2357,1.08751,1.08875,1.08737,1.08873
2023-05-16T13:45:00.000000000Z,2021,1.08876,1.08891,1.08751,1.08751
2023-05-16T14:00:00.000000000Z,2169,1.08752,1.08762,1.08604,1.08606
2023-05-16T14:15:00.000000000Z,1558,1.08608,1.08718,1.08598,1.08716
2023-05-16T14:30:00.000000000Z,1618,1.08717,1.08730,1.08647,1.08672
2023-05-16T14:45:00.000000000Z,1750,1.08674,1.08726,1.08626,1.08664
2023-05-16T15:00:00.000000000Z,1475,1.08668,1.08681,1.08555,1.08568
2023-05-16T15:15:00.000000000Z,1364,1.08568,1.08647,1.08556,1.08641
2023-05-16T15:30:00.000000000Z,1380,1.08640,1.08648,1.08550,1.08562
2023-05-16T15:45:00.000000000Z,1294,1.08560,1.08663,1.08556,1.08648
2023-05-16T16:00:00.000000000Z,1228,1.08650,1.08687,1.08641,1.08652
2023-05-16T16:15:00.000000000Z,808,1.08650,1.08680,1.08640,1.08662
2023-05-16T16:30:00.000000000Z,762,1.08660,1.08685,1.08640,1.08685
2023-05-16T16:45:00.000000000Z,1013,1.08685,1.08722,1.08666,1.08668
2023-05-16T17:00:00.000000000Z,793,1.08670,1.08678,1.08614,1.08634
2023-05-16T17:15:00.000000000Z,680,1.08636,1.08682,1.08628,1.08682
2023-05-16T17:30:00.000000000Z,541,1.08682,1.08712,1.08664,1.08664
2023-05-16T17:45:00.000000000Z,605,1.08664,1.08704,1.08664,1.08670
2023-05-16T18:00:00.000000000Z,673,1.08671,1.08674,1.08644,1.08649
2023-05-16T18:15:00.000000000Z,464,1.08648,1.08687,1.08647,1.08684
2023-05-16T18:30:00.000000000Z,598,1.08684,1.08703,1.08678,1.08688
2023-05-16T18:45:00.000000000Z,475,1.08688,1.08700,1.08670,1.08678
2023-05-16T19:00:00.000000000Z,523,1.08678,1.08698,1.08672,1.08684
2023-05-16T19:15:00.000000000Z,401,1.08682,1.08690,1.08672,1.08681
2023-05-16T19:30:00.000000000Z,565,1.08680,1.08684,1.08601,1.08610
2023-05-16T19:45:00.000000000Z,941,1.08612,1.08632,1.08581,1.08630
2023-05-16T20:00:00.000000000Z,496,1.08628,1.08646,1.08614,1.08614
2023-05-16T20:15:00.000000000Z,439,1.08614,1.08634,1.08606,1.08621
2023-05-16T20:30:00.000000000Z,329,1.08621,1.08627,1.08613,1.08624
2023-05-16T20:45:00.000000000Z,277,1.08624,1.08632,1.08615,1.08620
2023-05-16T21:00:00.000000000Z,32,1.08636,1.08644,1.08634,1.08638
2023-05-16T21:15:00.000000000Z,78,1.08638,1.08648,1.08634,1.08643
2023-05-16T21:30:00.000000000Z,97,1.08643,1.08643,1.08624,1.08624
2023-05-16T21:45:00.000000000Z,162,1.08624,1.08626,1.08614,1.08625
2023-05-16T22:00:00.000000000Z,124,1.08620,1.08628,1.08618,1.08622
2023-05-16T22:15:00.000000000Z,214,1.08621,1.08640,1.08617,1.08628
2023-05-16T22:30:00.000000000Z,151,1.08628,1.08631,1.08622,1.08623
2023-05-16T22:45:00.000000000Z,117,1.08622,1.08627,1.08616,1.08625
2023-05-16T23:00:00.000000000Z,211,1.08626,1.08634,1.08607,1.08620
2023-05-16T23:15:00.000000000Z,161,1.08620,1.08646,1.08614,1.08645
2023-05-16T23:30:00.000000000Z,152,1.08644,1.08656,1.08636,1.08647
2023-05-16T23:45:00.000000000Z,246,1.08644,1.08656,1.08634,1.08654
2023-05-17T00:00:00.000000000Z,663,1.08658,1.08670,1.08639,1.08668
2023-05-17T00:15:00.000000000Z,555,1.08668,1.08685,1.08648,1.08682
2023-05-17T00:30:00.000000000Z,509,1.08684,1.08691,1.08668,1.08684
2023-05-17T00:45:00.000000000Z,731,1.08686,1.08720,1.08681,1.08706
2023-05-17T01:00:00.000000000Z,628,1.08706,1.08712,1.08680,1.08700
2023-05-17T01:15:00.000000000Z,714,1.08701,1.08708,1.08673,1.08706
2023-05-17T01:30:00.000000000Z,1014,1.08707,1.08707,1.08622,1.08644
2023-05-17T01:45:00.000000000Z,823,1.08642,1.08701,1.08642,1.08700
2023-05-17T02:00:00.000000000Z,542,1.08701,1.08714,1.08684,1.08714
2023-05-17T02:15:00.000000000Z,440,1.08712,1.08738,1.08702,1.08713
2023-05-17T02:30:00.000000000Z,1159,1.08714,1.08722,1.08708,1.08710
2023-05-17T02:45:00.000000000Z,982,1.08711,1.08736,1.08688,1.08698
2023-05-17T03:00:00.000000000Z,538,1.08699,1.08714,1.08682,1.08700
2023-05-17T03:15:00.000000000Z,335,1.08700,1.08703,1.08672,1.08678
2023-05-17T03:30:00.000000000Z,225,1.08677,1.08680,1.08664,1.08672
2023-05-17T03:45:00.000000000Z,363,1.08672,1.08678,1.08647,1.08656
2023-05-17T04:00:00.000000000Z,401,1.08656,1.08658,1.08632,1.08633
2023-05-17T04:15:00.000000000Z,340,1.08634,1.08668,1.08633,1.08661
2023-05-17T04:30:00.000000000Z,370,1.08660,1.08677,1.08659,1.08665
2023-05-17T04:45:00.000000000Z,287,1.08664,1.08664,1.08640,1.08648
2023-05-17T05:00:00.000000000Z,469,1.08647,1.08653,1.08629,1.08648
2023-05-17T05:15:00.000000000Z,475,1.08648,1.08648,1.08596,1.08602
2023-05-17T05:30:00.000000000Z,895,1.08601,1.08628,1.08592,1.08602
2023-05-17T05:45:00.000000000Z,775,1.08602,1.08605,1.08525,1.08532
2023-05-17T06:00:00.000000000Z,928,1.08531,1.08552,1.08502,1.08532
2023-05-17T06:15:00.000000000Z,969,1.08533,1.08612,1.08530,1.08602
2023-05-17T06:30:00.000000000Z,756,1.08600,1.08646,1.08580,1.08592
2023-05-17T06:45:00.000000000Z,1002,1.08591,1.08609,1.08518,1.08538
2023-05-17T07:00:00.000000000Z,1645,1.08538,1.08638,1.08531,1.08602
2023-05-17T07:15:00.000000000Z,1653,1.08602,1.08616,1.08390,1.08442
2023-05-17T07:30:00.000000000Z,1546,1.08440,1.08464,1.08388,1.08418
2023-05-17T07:45:00.000000000Z,1500,1.08418,1.08424,1.08313,1.08319
2023-05-17T08:00:00.000000000Z,1360,1.08317,1.08406,1.08316,1.08383
2023-05-17T08:15:00.000000000Z,1230,1.08386,1.08440,1.08352,1.08434
2023-05-17T08:30:00.000000000Z,1150,1.08432,1.08482,1.08400,1.08416
2023-05-17T08:45:00.000000000Z,1331,1.08412,1.08426,1.08272,1.08292
2023-05-17T09:00:00.000000000Z,1344,1.08289,1.08289,1.08206,1.08212
2023-05-17T09:15:00.000000000Z,1111,1.08216,1.08278,1.08212,1.08274
2023-05-17T09:30:00.000000000Z,998,1.08273,1.08325,1.08260,1.08293
2023-05-17T09:45:00.000000000Z,858,1.08294,1.08326,1.08262,1.08310
