time,OBV
2007-03-31 21:00:00+00:00,-39199
2007-04-01 21:00:00+00:00,-17226
2007-04-02 21:00:00+00:00,-41062
2007-04-03 21:00:00+00:00,-23616
2007-04-04 21:00:00+00:00,-41308
2007-04-05 21:00:00+00:00,-52483
2007-04-06 21:00:00+00:00,-52482
2007-04-07 21:00:00+00:00,-52235
2007-04-08 21:00:00+00:00,-62841
2007-04-09 21:00:00+00:00,-39227
2007-04-10 21:00:00+00:00,-19996
2007-04-11 21:00:00+00:00,-971
2007-04-12 21:00:00+00:00,22448
2007-04-14 21:00:00+00:00,21696
2007-04-15 21:00:00+00:00,47986
2007-04-16 21:00:00+00:00,72755
2007-04-17 21:00:00+00:00,91194
2007-04-18 21:00:00+00:00,68249
2007-04-19 21:00:00+00:00,47907
2007-04-21 21:00:00+00:00,48102
2007-04-22 21:00:00+00:00,32955
2007-04-23 21:00:00+00:00,55640
2007-04-24 21:00:00+00:00,34657
2007-04-25 21:00:00+00:00,15650
2007-04-26 21:00:00+00:00,44614
2007-04-27 21:00:00+00:00,44615
2007-04-28 21:00:00+00:00,44128
2007-04-29 21:00:00+00:00,72445
2007-04-30 21:00:00+00:00,46010
2007-05-01 21:00:00+00:00,24406
2007-05-02 21:00:00+00:00,1172
2007-05-03 21:00:00+00:00,26444
2007-05-05 21:00:00+00:00,26556
2007-05-06 21:00:00+00:00,13975
2007-05-07 21:00:00+00:00,-10825
2007-05-08 21:00:00+00:00,13330
2007-05-09 21:00:00+00:00,-17514
2007-05-10 21:00:00+00:00,5344
2007-05-12 21:00:00+00:00,5500
2007-05-13 21:00:00+00:00,-14724
2007-05-14 21:00:00+00:00,12372
2007-05-15 21:00:00+00:00,-14624
2007-05-16 21:00:00+00:00,-33693
2007-05-17 21:00:00+00:00,-53864
2007-05-19 21:00:00+00:00,-53789
2007-05-20 21:00:00+00:00,-76880
2007-05-21 21:00:00+00:00,-54999
2007-05-22 21:00:00+00:00,-26831
2007-05-23 21:00:00+00:00,-48575
2007-05-24 21:00:00+00:00,-70369
2007-05-26 21:00:00+00:00,-70344
2007-05-27 21:00:00+00:00,-76532
2007-05-28 21:00:00+00:00,-102955
2007-05-29 21:00:00+00:00,-128572
2007-05-30 21:00:00+00:00,-108174
2007-05-31 21:00:00+00:00,-84787
2007-06-01 21:00:00+00:00,-84789
2007-06-02 21:00:00+00:00,-84935
2007-06-03 21:00:00+00:00,-66774
2007-06-04 21:00:00+00:00,-47520
2007-06-05 21:00:00+00:00,-64488
2007-06-06 21:00:00+00:00,-87078
2007-06-07 21:00:00+00:00,-111038
2007-06-09 21:00:00+00:00,-110868
2007-06-10 21:00:00+00:00,-126465
2007-06-11 21:00:00+00:00,-106411
2007-06-12 21:00:00+00:00,-130464
2007-06-13 21:00:00+00:00,-151411
2007-06-14 21:00:00+00:00,-131720
2007-06-15 21:00:00+00:00,-131722
2007-06-16 21:00:00+00:00,-131906
2007-06-17 21:00:00+00:00,-112582
2007-06-18 21:00:00+00:00,-94512
2007-06-19 21:00:00+00:00,-72253
2007-06-20 21:00:00+00:00,-90738
