time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2023-07-04 00:25:00+00:00,46,1.26912,1.26919,1.26912,1.26918,GBP_USD,M1,32.65306122448516,-4.578152323242435e-06,2.5468876023407542e-05,-3.0047028346649977e-05,1.269339,0.00011073439027727592,9.714285714289086e-05,23.21436742930604,-6974
2023-07-04 00:26:00+00:00,17,1.2692,1.2692,1.26918,1.26918,GBP_USD,M1,42.10526315788551,-1.1939179602737937e-05,1.7987264898178448e-05,-2.9926444500916385e-05,1.269339,0.00011073439027727592,8.285714285719401e-05,25.217168549759027,-6991
2023-07-04 00:27:00+00:00,22,1.26916,1.26918,1.26912,1.26913,GBP_USD,M1,37.974683544307,-2.1558911179608842e-05,1.0078029682620991e-05,-3.1636940862229834e-05,1.2693284999999999,0.00012018735344063993,8.142857142861322e-05,27.333855741879777,-7013
2023-07-04 00:28:00+00:00,41,1.26916,1.26922,1.2691,1.26918,GBP_USD,M1,38.74999999999133,-2.4861448327362368e-05,3.0901340806243194e-06,-2.7951582407986686e-05,1.2693125,0.00011742298677014784,8.571428571433972e-05,29.523822637731428,-6972
2023-07-04 00:29:00+00:00,53,1.26918,1.26927,1.26917,1.26927,GBP_USD,M1,46.51162790696533,-1.9986097678836856e-05,-1.5251122712679154e-06,-1.846098540756894e-05,1.269307,0.00011666867135066403,8.928571428575996e-05,31.085490783253963,-6919
2023-07-04 00:30:00+00:00,32,1.26928,1.26928,1.26923,1.26924,GBP_USD,M1,40.243902439009865,-1.8331779106040003e-05,-4.8864456382223335e-06,-1.3445333467817669e-05,1.269294,0.00010821032118862758,8.642857142861425e-05,32.62680661028643,-6951
2023-07-04 00:31:00+00:00,15,1.26924,1.26936,1.26924,1.26934,GBP_USD,M1,46.73913043477186,-8.849543425393236e-06,-5.679065195656514e-06,-3.1704782297367222e-06,1.269285,9.511765529442375e-05,9.000000000005035e-05,33.59478273354386,-6936
2023-07-04 00:32:00+00:00,39,1.26936,1.2694,1.26933,1.26934,GBP_USD,M1,50.0,-1.3195918986408373e-06,-4.807170536253378e-06,3.487578637612541e-06,1.2692869999999998,9.586723237591983e-05,9.071428571432489e-05,34.004946799170725,-6975
2023-07-04 00:33:00+00:00,66,1.26934,1.26946,1.26928,1.26946,GBP_USD,M1,59.139784946240155,1.4167630430161893e-05,-1.0122103429703244e-06,1.5179840773132217e-05,1.269294,0.00010323198163748635,9.785714285718125e-05,33.68748648171174,-6909
2023-07-04 00:34:00+00:00,32,1.26945,1.26952,1.26944,1.26947,GBP_USD,M1,54.2168674698821,2.6937760398304533e-05,4.577783805284647e-06,2.2359976593019886e-05,1.2692995,0.00010966336014845634,9.35714285714706e-05,32.66004102076846,-6877
